ts_code,name,category,item,status,evidence,gap
603658.SH,安图生物,预期,价格隐含的增长年限,有利,现价未高于批量公允价值上限,不代表具备安全边际
603658.SH,安图生物,预期,产业进度与远期预期的距离,证据不足,50家公司均有成熟业务，但本批未逐项读取产业报告和第二增长曲线里程碑,高估值标的需单独补产业进度
603658.SH,安图生物,预期,新信息对盈利预测的推动,证据不足,未取得逐股一致预期修订与公告事件研究,补券商一致预期和公告后修订
603658.SH,安图生物,预期,同类利好的边际反应,证据不足,未建立逐股同类事件样本,补事件日与后续5/20日反应
603658.SH,安图生物,预期,财报披露节点,当期恶化，持续性待确认,2026H1扣非同比-9.7%、CFO同比-47.4%,Q3验证持续性
603658.SH,安图生物,预期,订单、收入与利润的一致性,证据不足,2026H1收入同比-0.1%、扣非同比-9.7%，但订单口径未取得,补订单、合同负债和交付
603658.SH,安图生物,预期,利润与现金流的一致性,证据不足,利润与FCF代理不能形成明确结论,补现金流归因
603658.SH,安图生物,预期,真实应用与产品验证,有利,入选公司均已有多年法定财务报表和持续收入，核心业务不是未商业化概念,第二增长曲线仍需单独核验
603658.SH,安图生物,预期,实际业绩与价格隐含预期,有利,现价未超过批量公允价值上限,仍需单股产业与一致预期交叉验证
603195.SH,公牛集团,基本面,资本开支规模,有利,2026H1 CFO22.36亿元覆盖资本开支1.65亿元,仍需验证在建项目回报
603195.SH,公牛集团,基本面,经营现金流,有利,2026H1 CFO22.36亿元，同比-6.0%,继续与利润转化交叉核验
603195.SH,公牛集团,基本面,自由现金流,有利,2026H1 FCF代理20.71亿元,代理未调整租赁和非现金投资
603195.SH,公牛集团,基本面,投资资金来源,有利,经营现金流可覆盖本期资本开支,未逐项目核验用途
603195.SH,公牛集团,基本面,融资停止后的可持续性,有利,严格净现金36.05亿元且2026H1 CFO为正,仍需核验受限资金和到期债务
603195.SH,公牛集团,基本面,原材料与中间品成本,有利,2026H1毛利率同比变化-0.62个百分点，未见明显成本吞噬,仍缺分部采购价格
603195.SH,公牛集团,基本面,定价权与成本转嫁,证据不足,毛利率变化不足以识别价格与成本转嫁机制,补产品价格和单位成本
603195.SH,公牛集团,基本面,营收向利润的转化,有利,2026H1收入同比2.8%、扣非同比3.1%,仍需分部毛利验证
603195.SH,公牛集团,基本面,利润向自由现金流的转化,有利,2026H1归母21.51亿元、FCF代理20.71亿元,FCF代理口径仍有限制
603195.SH,公牛集团,流动性,通胀,当期恶化，持续性待确认,全国CPI 202608同比0.8%；PPI同比3.8%，较前月3.5%扩大,单月扩大尚不足以确认货币收紧；需继续观察PPI持续性和公司分部成本传导
603195.SH,公牛集团,流动性,政策利率与债券收益率,有利,最近可得LPR（20260720）1年/5年为3.00%/3.50%，本年未上调,10年国债收益率接口无权限，未纳入
603195.SH,公牛集团,流动性,信用与融资条件,证据不足,202607 M2同比7.7%，单一货币总量不能证明企业信用利差和再融资条件,缺信用利差、债券发行与银行授信
603195.SH,公牛集团,流动性,高投资项目对低成本资金的依赖,有利,未同时出现资本开支超过CFO与融资债务明显增加,未逐项目测算ROIC
603195.SH,公牛集团,流动性,监管与产业政策,证据不足,本批未逐行业核验2026-09-09前后的监管和产业政策变化,单股决策前补行业政策
603195.SH,公牛集团,流动性,ETF申赎,有利,515450份额近20个可得交易日变化1.7%，未见明显赎回,单只ETF不能代表全市场被动资金
603195.SH,公牛集团,流动性,基金仓位,证据不足,当日PCF确认成分身份，但未取得全市场基金仓位和集中度变化,补基金季报与主动基金持仓
603195.SH,公牛集团,流动性,主线增量资金,证据不足,个股20日资金分档净额-0.06亿元，与ETF份额信号未形成明确同向结论,补机构、产业资本和主动基金证据
603195.SH,公牛集团,流动性,融资余额增速,有利,融资余额约40日变化-9.9%，未见快速杠杆扩张,不代表无其他杠杆
603195.SH,公牛集团,流动性,新增融资集中度,证据不足,仅取得个股融资余额，未取得同指数和行业新增融资分布,补横截面融资集中度
603195.SH,公牛集团,流动性,股价对杠杆资金的依赖,证据不足,融资与价格未形成足以识别边际定价者的证据,需融资变动后的价格响应和多类买盘
603195.SH,公牛集团,流动性,龙头表现,证据不足,个股20日回报-5.4%，但未完成行业龙头身份和同业相对强弱核验,补行业横截面
603195.SH,公牛集团,流动性,市场广度,当期恶化，持续性待确认,2026-09-09全A上涨家数占比32.3%，下跌3642家，单日广度偏弱,需5—20日持续窗口确认
603195.SH,公牛集团,流动性,获利资金与回调承接,当期恶化，持续性待确认,20日资金分档净额-0.06亿元、股价回报-5.4%,需反弹窗口验证承接是否持续不足
603195.SH,公牛集团,预期,价格隐含的增长年限,有利,现价未高于批量公允价值上限,不代表具备安全边际
603195.SH,公牛集团,预期,产业进度与远期预期的距离,证据不足,50家公司均有成熟业务，但本批未逐项读取产业报告和第二增长曲线里程碑,高估值标的需单独补产业进度
603195.SH,公牛集团,预期,新信息对盈利预测的推动,证据不足,未取得逐股一致预期修订与公告事件研究,补券商一致预期和公告后修订
603195.SH,公牛集团,预期,同类利好的边际反应,证据不足,未建立逐股同类事件样本,补事件日与后续5/20日反应
603195.SH,公牛集团,预期,财报披露节点,有利,2026H1扣非同比3.1%，未与CFO形成明确双弱,仍需Q3验证
603195.SH,公牛集团,预期,订单、收入与利润的一致性,证据不足,2026H1收入同比2.8%、扣非同比3.1%，但订单口径未取得,补订单、合同负债和交付
603195.SH,公牛集团,预期,利润与现金流的一致性,有利,2026H1归母21.51亿元、FCF代理20.71亿元,代理口径有限
603195.SH,公牛集团,预期,真实应用与产品验证,有利,入选公司均已有多年法定财务报表和持续收入，核心业务不是未商业化概念,第二增长曲线仍需单独核验
603195.SH,公牛集团,预期,实际业绩与价格隐含预期,有利,现价未超过批量公允价值上限,仍需单股产业与一致预期交叉验证
601988.SH,中国银行,基本面,资本开支规模,不适用,银行扩张主要通过信贷和金融资产，不以工业资本开支衡量,改用风险加权资产增速与资本消耗；本批未取得
601988.SH,中国银行,基本面,经营现金流,不适用,银行经营现金流受存贷款和同业科目波动主导,改用息差、资产质量和资本生成能力；本批未取得
601988.SH,中国银行,基本面,自由现金流,不适用,一般企业FCF代理不适用于银行,需建立银行剩余收益/股息能力模型
601988.SH,中国银行,基本面,投资资金来源,不适用,存款、同业和资本是银行经营资金来源,需补存款稳定性、同业依赖和资本充足率
601988.SH,中国银行,基本面,融资停止后的可持续性,证据不足,PB/ROE估值未使用工业企业净现金,缺资本充足率、流动性覆盖率和再融资计划
601988.SH,中国银行,基本面,原材料与中间品成本,不适用,银行主要投入成本是资金成本而非原材料,净息差和存款成本未获取
601988.SH,中国银行,基本面,定价权与成本转嫁,证据不足,未取得贷款定价、存款成本与净息差,需按银行披露补齐
601988.SH,中国银行,基本面,营收向利润的转化,证据不足,缺收入或扣非利润同比,补2025H1与2026H1同口径数据
601988.SH,中国银行,基本面,利润向自由现金流的转化,不适用,一般企业FCF转换率不适用于银行,改用资本生成和可分配利润
601988.SH,中国银行,流动性,通胀,当期恶化，持续性待确认,全国CPI 202608同比0.8%；PPI同比3.8%，较前月3.5%扩大,单月扩大尚不足以确认货币收紧；需继续观察PPI持续性和公司分部成本传导
601988.SH,中国银行,流动性,政策利率与债券收益率,有利,最近可得LPR（20260720）1年/5年为3.00%/3.50%，本年未上调,10年国债收益率接口无权限，未纳入
601988.SH,中国银行,流动性,信用与融资条件,证据不足,202607 M2同比7.7%，单一货币总量不能证明企业信用利差和再融资条件,缺信用利差、债券发行与银行授信
601988.SH,中国银行,流动性,高投资项目对低成本资金的依赖,不适用,银行PB/ROE模型不以工业项目资本开支为主锚,资金成本改由净息差核验
601988.SH,中国银行,流动性,监管与产业政策,证据不足,本批未逐行业核验2026-09-09前后的监管和产业政策变化,单股决策前补行业政策
601988.SH,中国银行,流动性,ETF申赎,有利,515450份额近20个可得交易日变化1.7%，未见明显赎回,单只ETF不能代表全市场被动资金
601988.SH,中国银行,流动性,基金仓位,证据不足,当日PCF确认成分身份，但未取得全市场基金仓位和集中度变化,补基金季报与主动基金持仓
601988.SH,中国银行,流动性,主线增量资金,证据不足,个股20日资金分档净额2.42亿元，与ETF份额信号未形成明确同向结论,补机构、产业资本和主动基金证据
601988.SH,中国银行,流动性,融资余额增速,有利,融资余额约40日变化-10.0%，未见快速杠杆扩张,不代表无其他杠杆
601988.SH,中国银行,流动性,新增融资集中度,证据不足,仅取得个股融资余额，未取得同指数和行业新增融资分布,补横截面融资集中度
601988.SH,中国银行,流动性,股价对杠杆资金的依赖,证据不足,融资与价格未形成足以识别边际定价者的证据,需融资变动后的价格响应和多类买盘
601988.SH,中国银行,流动性,龙头表现,证据不足,个股20日回报10.3%，但未完成行业龙头身份和同业相对强弱核验,补行业横截面
601988.SH,中国银行,流动性,市场广度,当期恶化，持续性待确认,2026-09-09全A上涨家数占比32.3%，下跌3642家，单日广度偏弱,需5—20日持续窗口确认
601988.SH,中国银行,流动性,获利资金与回调承接,有利,20日资金分档净额2.42亿元、股价回报10.3%,资金分档不等于真实主体
601988.SH,中国银行,预期,价格隐含的增长年限,有利,现价未高于批量公允价值上限,不代表具备安全边际
601988.SH,中国银行,预期,产业进度与远期预期的距离,证据不足,50家公司均有成熟业务，但本批未逐项读取产业报告和第二增长曲线里程碑,高估值标的需单独补产业进度
601988.SH,中国银行,预期,新信息对盈利预测的推动,证据不足,未取得逐股一致预期修订与公告事件研究,补券商一致预期和公告后修订
601988.SH,中国银行,预期,同类利好的边际反应,证据不足,未建立逐股同类事件样本,补事件日与后续5/20日反应
601988.SH,中国银行,预期,财报披露节点,证据不足,2026H1扣非同比缺失,补法定半年报
601988.SH,中国银行,预期,订单、收入与利润的一致性,证据不足,2026H1收入同比8.5%、扣非同比未获取到，但订单口径未取得,补订单、合同负债和交付
601988.SH,中国银行,预期,利润与现金流的一致性,不适用,银行经营现金流不能按一般企业利润转换解释,改用资本生成和资产质量
601988.SH,中国银行,预期,真实应用与产品验证,有利,入选公司均已有多年法定财务报表和持续收入，核心业务不是未商业化概念,第二增长曲线仍需单独核验
601988.SH,中国银行,预期,实际业绩与价格隐含预期,有利,现价未超过批量公允价值上限,仍需单股产业与一致预期交叉验证
601939.SH,建设银行,基本面,资本开支规模,不适用,银行扩张主要通过信贷和金融资产，不以工业资本开支衡量,改用风险加权资产增速与资本消耗；本批未取得
601939.SH,建设银行,基本面,经营现金流,不适用,银行经营现金流受存贷款和同业科目波动主导,改用息差、资产质量和资本生成能力；本批未取得
601939.SH,建设银行,基本面,自由现金流,不适用,一般企业FCF代理不适用于银行,需建立银行剩余收益/股息能力模型
601939.SH,建设银行,基本面,投资资金来源,不适用,存款、同业和资本是银行经营资金来源,需补存款稳定性、同业依赖和资本充足率
601939.SH,建设银行,基本面,融资停止后的可持续性,证据不足,PB/ROE估值未使用工业企业净现金,缺资本充足率、流动性覆盖率和再融资计划
601939.SH,建设银行,基本面,原材料与中间品成本,不适用,银行主要投入成本是资金成本而非原材料,净息差和存款成本未获取
601939.SH,建设银行,基本面,定价权与成本转嫁,证据不足,未取得贷款定价、存款成本与净息差,需按银行披露补齐
601939.SH,建设银行,基本面,营收向利润的转化,证据不足,缺收入或扣非利润同比,补2025H1与2026H1同口径数据
601939.SH,建设银行,基本面,利润向自由现金流的转化,不适用,一般企业FCF转换率不适用于银行,改用资本生成和可分配利润
601939.SH,建设银行,流动性,通胀,当期恶化，持续性待确认,全国CPI 202608同比0.8%；PPI同比3.8%，较前月3.5%扩大,单月扩大尚不足以确认货币收紧；需继续观察PPI持续性和公司分部成本传导
601939.SH,建设银行,流动性,政策利率与债券收益率,有利,最近可得LPR（20260720）1年/5年为3.00%/3.50%，本年未上调,10年国债收益率接口无权限，未纳入
601939.SH,建设银行,流动性,信用与融资条件,证据不足,202607 M2同比7.7%，单一货币总量不能证明企业信用利差和再融资条件,缺信用利差、债券发行与银行授信
601939.SH,建设银行,流动性,高投资项目对低成本资金的依赖,不适用,银行PB/ROE模型不以工业项目资本开支为主锚,资金成本改由净息差核验
601939.SH,建设银行,流动性,监管与产业政策,证据不足,本批未逐行业核验2026-09-09前后的监管和产业政策变化,单股决策前补行业政策
601939.SH,建设银行,流动性,ETF申赎,有利,515450份额近20个可得交易日变化1.7%，未见明显赎回,单只ETF不能代表全市场被动资金
601939.SH,建设银行,流动性,基金仓位,证据不足,当日PCF确认成分身份，但未取得全市场基金仓位和集中度变化,补基金季报与主动基金持仓
601939.SH,建设银行,流动性,主线增量资金,证据不足,个股20日资金分档净额0.45亿元，与ETF份额信号未形成明确同向结论,补机构、产业资本和主动基金证据
601939.SH,建设银行,流动性,融资余额增速,有利,融资余额约40日变化-7.4%，未见快速杠杆扩张,不代表无其他杠杆
601939.SH,建设银行,流动性,新增融资集中度,证据不足,仅取得个股融资余额，未取得同指数和行业新增融资分布,补横截面融资集中度
601939.SH,建设银行,流动性,股价对杠杆资金的依赖,证据不足,融资与价格未形成足以识别边际定价者的证据,需融资变动后的价格响应和多类买盘
601939.SH,建设银行,流动性,龙头表现,证据不足,个股20日回报5.7%，但未完成行业龙头身份和同业相对强弱核验,补行业横截面
601939.SH,建设银行,流动性,市场广度,当期恶化，持续性待确认,2026-09-09全A上涨家数占比32.3%，下跌3642家，单日广度偏弱,需5—20日持续窗口确认
601939.SH,建设银行,流动性,获利资金与回调承接,有利,20日资金分档净额0.45亿元、股价回报5.7%,资金分档不等于真实主体
601939.SH,建设银行,预期,价格隐含的增长年限,有利,现价未高于批量公允价值上限,不代表具备安全边际
601939.SH,建设银行,预期,产业进度与远期预期的距离,证据不足,50家公司均有成熟业务，但本批未逐项读取产业报告和第二增长曲线里程碑,高估值标的需单独补产业进度
601939.SH,建设银行,预期,新信息对盈利预测的推动,证据不足,未取得逐股一致预期修订与公告事件研究,补券商一致预期和公告后修订
601939.SH,建设银行,预期,同类利好的边际反应,证据不足,未建立逐股同类事件样本,补事件日与后续5/20日反应
601939.SH,建设银行,预期,财报披露节点,证据不足,2026H1扣非同比缺失,补法定半年报
601939.SH,建设银行,预期,订单、收入与利润的一致性,证据不足,2026H1收入同比10.7%、扣非同比未获取到，但订单口径未取得,补订单、合同负债和交付
601939.SH,建设银行,预期,利润与现金流的一致性,不适用,银行经营现金流不能按一般企业利润转换解释,改用资本生成和资产质量
601939.SH,建设银行,预期,真实应用与产品验证,有利,入选公司均已有多年法定财务报表和持续收入，核心业务不是未商业化概念,第二增长曲线仍需单独核验
601939.SH,建设银行,预期,实际业绩与价格隐含预期,有利,现价未超过批量公允价值上限,仍需单股产业与一致预期交叉验证
601916.SH,浙商银行,基本面,资本开支规模,不适用,银行扩张主要通过信贷和金融资产，不以工业资本开支衡量,改用风险加权资产增速与资本消耗；本批未取得
601916.SH,浙商银行,基本面,经营现金流,不适用,银行经营现金流受存贷款和同业科目波动主导,改用息差、资产质量和资本生成能力；本批未取得
601916.SH,浙商银行,基本面,自由现金流,不适用,一般企业FCF代理不适用于银行,需建立银行剩余收益/股息能力模型
601916.SH,浙商银行,基本面,投资资金来源,不适用,存款、同业和资本是银行经营资金来源,需补存款稳定性、同业依赖和资本充足率
601916.SH,浙商银行,基本面,融资停止后的可持续性,证据不足,PB/ROE估值未使用工业企业净现金,缺资本充足率、流动性覆盖率和再融资计划
601916.SH,浙商银行,基本面,原材料与中间品成本,不适用,银行主要投入成本是资金成本而非原材料,净息差和存款成本未获取
601916.SH,浙商银行,基本面,定价权与成本转嫁,证据不足,未取得贷款定价、存款成本与净息差,需按银行披露补齐
601916.SH,浙商银行,基本面,营收向利润的转化,不利信号出现,2026H1收入同比0.0%但扣非同比-1.7%，出现增收不增利,H2验证利润率是否修复
601916.SH,浙商银行,基本面,利润向自由现金流的转化,不适用,一般企业FCF转换率不适用于银行,改用资本生成和可分配利润
601916.SH,浙商银行,流动性,通胀,当期恶化，持续性待确认,全国CPI 202608同比0.8%；PPI同比3.8%，较前月3.5%扩大,单月扩大尚不足以确认货币收紧；需继续观察PPI持续性和公司分部成本传导
601916.SH,浙商银行,流动性,政策利率与债券收益率,有利,最近可得LPR（20260720）1年/5年为3.00%/3.50%，本年未上调,10年国债收益率接口无权限，未纳入
601916.SH,浙商银行,流动性,信用与融资条件,证据不足,202607 M2同比7.7%，单一货币总量不能证明企业信用利差和再融资条件,缺信用利差、债券发行与银行授信
601916.SH,浙商银行,流动性,高投资项目对低成本资金的依赖,不适用,银行PB/ROE模型不以工业项目资本开支为主锚,资金成本改由净息差核验
601916.SH,浙商银行,流动性,监管与产业政策,证据不足,本批未逐行业核验2026-09-09前后的监管和产业政策变化,单股决策前补行业政策
601916.SH,浙商银行,流动性,ETF申赎,有利,515450份额近20个可得交易日变化1.7%，未见明显赎回,单只ETF不能代表全市场被动资金
601916.SH,浙商银行,流动性,基金仓位,证据不足,当日PCF确认成分身份，但未取得全市场基金仓位和集中度变化,补基金季报与主动基金持仓
601916.SH,浙商银行,流动性,主线增量资金,证据不足,个股20日资金分档净额0.22亿元，与ETF份额信号未形成明确同向结论,补机构、产业资本和主动基金证据
601916.SH,浙商银行,流动性,融资余额增速,有利,融资余额约40日变化-10.4%，未见快速杠杆扩张,不代表无其他杠杆
601916.SH,浙商银行,流动性,新增融资集中度,证据不足,仅取得个股融资余额，未取得同指数和行业新增融资分布,补横截面融资集中度
601916.SH,浙商银行,流动性,股价对杠杆资金的依赖,证据不足,融资与价格未形成足以识别边际定价者的证据,需融资变动后的价格响应和多类买盘
601916.SH,浙商银行,流动性,龙头表现,证据不足,个股20日回报1.7%，但未完成行业龙头身份和同业相对强弱核验,补行业横截面
601916.SH,浙商银行,流动性,市场广度,当期恶化，持续性待确认,2026-09-09全A上涨家数占比32.3%，下跌3642家，单日广度偏弱,需5—20日持续窗口确认
601916.SH,浙商银行,流动性,获利资金与回调承接,有利,20日资金分档净额0.22亿元、股价回报1.7%,资金分档不等于真实主体
601916.SH,浙商银行,预期,价格隐含的增长年限,有利,现价未高于批量公允价值上限,不代表具备安全边际
601916.SH,浙商银行,预期,产业进度与远期预期的距离,证据不足,50家公司均有成熟业务，但本批未逐项读取产业报告和第二增长曲线里程碑,高估值标的需单独补产业进度
601916.SH,浙商银行,预期,新信息对盈利预测的推动,证据不足,未取得逐股一致预期修订与公告事件研究,补券商一致预期和公告后修订
601916.SH,浙商银行,预期,同类利好的边际反应,证据不足,未建立逐股同类事件样本,补事件日与后续5/20日反应
601916.SH,浙商银行,预期,财报披露节点,当期恶化，持续性待确认,2026H1扣非同比-1.7%、CFO同比382.2%,Q3验证持续性
601916.SH,浙商银行,预期,订单、收入与利润的一致性,证据不足,2026H1收入同比0.0%、扣非同比-1.7%，但订单口径未取得,补订单、合同负债和交付
601916.SH,浙商银行,预期,利润与现金流的一致性,不适用,银行经营现金流不能按一般企业利润转换解释,改用资本生成和资产质量
601916.SH,浙商银行,预期,真实应用与产品验证,有利,入选公司均已有多年法定财务报表和持续收入，核心业务不是未商业化概念,第二增长曲线仍需单独核验
601916.SH,浙商银行,预期,实际业绩与价格隐含预期,有利,现价未超过批量公允价值上限,仍需单股产业与一致预期交叉验证
601838.SH,成都银行,基本面,资本开支规模,不适用,银行扩张主要通过信贷和金融资产，不以工业资本开支衡量,改用风险加权资产增速与资本消耗；本批未取得
601838.SH,成都银行,基本面,经营现金流,不适用,银行经营现金流受存贷款和同业科目波动主导,改用息差、资产质量和资本生成能力；本批未取得
601838.SH,成都银行,基本面,自由现金流,不适用,一般企业FCF代理不适用于银行,需建立银行剩余收益/股息能力模型
601838.SH,成都银行,基本面,投资资金来源,不适用,存款、同业和资本是银行经营资金来源,需补存款稳定性、同业依赖和资本充足率
601838.SH,成都银行,基本面,融资停止后的可持续性,证据不足,PB/ROE估值未使用工业企业净现金,缺资本充足率、流动性覆盖率和再融资计划
601838.SH,成都银行,基本面,原材料与中间品成本,不适用,银行主要投入成本是资金成本而非原材料,净息差和存款成本未获取
601838.SH,成都银行,基本面,定价权与成本转嫁,证据不足,未取得贷款定价、存款成本与净息差,需按银行披露补齐
601838.SH,成都银行,基本面,营收向利润的转化,有利,2026H1收入同比4.1%、扣非同比3.9%,仍需分部毛利验证
601838.SH,成都银行,基本面,利润向自由现金流的转化,不适用,一般企业FCF转换率不适用于银行,改用资本生成和可分配利润
601838.SH,成都银行,流动性,通胀,当期恶化，持续性待确认,全国CPI 202608同比0.8%；PPI同比3.8%，较前月3.5%扩大,单月扩大尚不足以确认货币收紧；需继续观察PPI持续性和公司分部成本传导
601838.SH,成都银行,流动性,政策利率与债券收益率,有利,最近可得LPR（20260720）1年/5年为3.00%/3.50%，本年未上调,10年国债收益率接口无权限，未纳入
601838.SH,成都银行,流动性,信用与融资条件,证据不足,202607 M2同比7.7%，单一货币总量不能证明企业信用利差和再融资条件,缺信用利差、债券发行与银行授信
601838.SH,成都银行,流动性,高投资项目对低成本资金的依赖,不适用,银行PB/ROE模型不以工业项目资本开支为主锚,资金成本改由净息差核验
601838.SH,成都银行,流动性,监管与产业政策,证据不足,本批未逐行业核验2026-09-09前后的监管和产业政策变化,单股决策前补行业政策
601838.SH,成都银行,流动性,ETF申赎,有利,515450份额近20个可得交易日变化1.7%，未见明显赎回,单只ETF不能代表全市场被动资金
601838.SH,成都银行,流动性,基金仓位,证据不足,当日PCF确认成分身份，但未取得全市场基金仓位和集中度变化,补基金季报与主动基金持仓
601838.SH,成都银行,流动性,主线增量资金,证据不足,个股20日资金分档净额0.48亿元，与ETF份额信号未形成明确同向结论,补机构、产业资本和主动基金证据
601838.SH,成都银行,流动性,融资余额增速,有利,融资余额约40日变化-8.7%，未见快速杠杆扩张,不代表无其他杠杆
601838.SH,成都银行,流动性,新增融资集中度,证据不足,仅取得个股融资余额，未取得同指数和行业新增融资分布,补横截面融资集中度
601838.SH,成都银行,流动性,股价对杠杆资金的依赖,证据不足,融资与价格未形成足以识别边际定价者的证据,需融资变动后的价格响应和多类买盘
601838.SH,成都银行,流动性,龙头表现,证据不足,个股20日回报9.4%，但未完成行业龙头身份和同业相对强弱核验,补行业横截面
601838.SH,成都银行,流动性,市场广度,当期恶化，持续性待确认,2026-09-09全A上涨家数占比32.3%，下跌3642家，单日广度偏弱,需5—20日持续窗口确认
601838.SH,成都银行,流动性,获利资金与回调承接,有利,20日资金分档净额0.48亿元、股价回报9.4%,资金分档不等于真实主体
601838.SH,成都银行,预期,价格隐含的增长年限,有利,现价未高于批量公允价值上限,不代表具备安全边际
601838.SH,成都银行,预期,产业进度与远期预期的距离,证据不足,50家公司均有成熟业务，但本批未逐项读取产业报告和第二增长曲线里程碑,高估值标的需单独补产业进度
601838.SH,成都银行,预期,新信息对盈利预测的推动,证据不足,未取得逐股一致预期修订与公告事件研究,补券商一致预期和公告后修订
601838.SH,成都银行,预期,同类利好的边际反应,证据不足,未建立逐股同类事件样本,补事件日与后续5/20日反应
601838.SH,成都银行,预期,财报披露节点,有利,2026H1扣非同比3.9%，未与CFO形成明确双弱,仍需Q3验证
601838.SH,成都银行,预期,订单、收入与利润的一致性,证据不足,2026H1收入同比4.1%、扣非同比3.9%，但订单口径未取得,补订单、合同负债和交付
601838.SH,成都银行,预期,利润与现金流的一致性,不适用,银行经营现金流不能按一般企业利润转换解释,改用资本生成和资产质量
601838.SH,成都银行,预期,真实应用与产品验证,有利,入选公司均已有多年法定财务报表和持续收入，核心业务不是未商业化概念,第二增长曲线仍需单独核验
601838.SH,成都银行,预期,实际业绩与价格隐含预期,有利,现价未超过批量公允价值上限,仍需单股产业与一致预期交叉验证
601825.SH,沪农商行,基本面,资本开支规模,不适用,银行扩张主要通过信贷和金融资产，不以工业资本开支衡量,改用风险加权资产增速与资本消耗；本批未取得
601825.SH,沪农商行,基本面,经营现金流,不适用,银行经营现金流受存贷款和同业科目波动主导,改用息差、资产质量和资本生成能力；本批未取得
601825.SH,沪农商行,基本面,自由现金流,不适用,一般企业FCF代理不适用于银行,需建立银行剩余收益/股息能力模型
601825.SH,沪农商行,基本面,投资资金来源,不适用,存款、同业和资本是银行经营资金来源,需补存款稳定性、同业依赖和资本充足率
601825.SH,沪农商行,基本面,融资停止后的可持续性,证据不足,PB/ROE估值未使用工业企业净现金,缺资本充足率、流动性覆盖率和再融资计划
601825.SH,沪农商行,基本面,原材料与中间品成本,不适用,银行主要投入成本是资金成本而非原材料,净息差和存款成本未获取
601825.SH,沪农商行,基本面,定价权与成本转嫁,证据不足,未取得贷款定价、存款成本与净息差,需按银行披露补齐
